id,url,domain,network,extend,regex1,regex2,regex3,regex4,regex5,virustotal,isaffi
180,https://www.tss.co.jp/,0,0,0,0,0,0,0,1,0,0
181,https://group.tyo.jp/,0,0,0,0,0,0,0,1,0,0
182,https://www.cresco.co.jp/,0,0,0,0,0,0,0,1,0,0
183,https://www.fujimediahd.co.jp/,0,0,0,0,0,0,0,1,0,0
184,https://www.obic.co.jp/,0,0,0,0,0,0,0,1,0,0
185,https://www.justsystems.com/jp/,0,0,0,0,0,0,0,0,0,0
186,https://www.tdc.co.jp/,0,0,0,0,0,0,0,1,0,0
187,https://www.wowow.co.jp/,0,0,0,0,0,0,1,1,0,0
188,https://www.trendmicro.co.jp/,0,0,0,0,0,0,1,1,0,0
189,https://www.nihon-e.co.jp/,0,0,1,0,0,0,0,1,0,0
190,https://www.alpha.co.jp/,0,0,0,0,0,0,0,1,0,0
191,https://www.future.co.jp/,0,0,0,0,0,0,0,1,0,0
192,https://www.tose.co.jp/,0,0,0,0,0,0,0,1,0,0
193,https://www.obc.co.jp/,0,0,0,0,1,0,1,1,0,0
194,https://www.to-be.co.jp/,0,0,0,0,0,0,1,1,0,0
195,https://www.itfor.co.jp/,0,0,0,0,0,0,0,1,0,0
196,https://www.toukei.co.jp/,0,0,0,0,0,0,0,1,0,0
197,https://www.xnet.co.jp/,0,0,0,0,0,0,0,1,0,0
198,https://www.isid.co.jp/,0,0,0,0,0,0,0,1,0,0
199,https://www.cij.co.jp/,0,0,0,0,0,0,0,1,0,0
200,https://www.softbrain.co.jp/,0,0,0,0,0,0,0,1,0,0
201,http://www.htmq.com/,0,0,0,0,0,0,0,0,0,0
202,https://www.jiji.com/sp/,0,0,1,0,0,0,0,1,0,0
203,https://www.yomiuri.co.jp/,0,0,0,0,0,0,1,1,1,0
204,https://www.sankei.com/,0,0,1,0,0,0,1,1,0,0
205,https://gendai.ismedia.jp/,0,0,1,0,0,0,0,1,0,0
206,https://webronza.asahi.com/,0,0,0,0,0,0,0,1,0,0
207,https://www.buzzfeed.com/jp/news,0,0,1,1,0,0,1,1,0,0
208,https://news.yahoo.co.jp/,0,0,0,0,0,0,0,1,0,0
209,https://www3.nhk.or.jp/news/,0,0,0,0,0,0,0,0,0,0
210,https://mainichi.jp/,0,0,1,0,0,0,0,1,0,0
211,https://lite-ra.com/,0,0,0,0,0,0,0,1,0,0
212,http://www.mynewsjapan.com/,0,0,0,1,0,0,1,1,0,0
213,https://johosokuhou.com/,0,0,0,0,0,0,1,1,0,0
214,https://cio.go.jp/,0,0,0,0,0,0,0,1,0,0
215,https://www.gyoukaku.go.jp/,0,0,0,0,0,0,0,1,0,0
216,http://www.kokuminhogo.go.jp/,0,0,0,0,0,0,0,0,0,0
217,http://www.cas.go.jp/,0,0,0,0,0,0,0,0,0,0
218,http://www.kantei.go.jp/,0,0,0,0,0,0,0,0,0,0
219,http://www.nisc.go.jp/,0,0,0,0,0,0,0,0,0,0
220,http://www.rachi.go.jp/,0,0,0,0,0,0,0,0,0,0
221,http://www.yuseimineika.go.jp/,0,0,0,0,0,0,0,0,0,0
222,https://www.clb.go.jp/,0,0,0,0,0,0,0,1,0,0
223,https://www.jinji.go.jp/,0,0,0,0,0,0,0,0,0,0
224,http://www.okinawakouko.go.jp/,0,0,0,0,0,0,0,1,0,0
225,https://www.jacar.go.jp/,0,0,0,0,0,0,0,0,0,0
226,https://www.okinawa41.go.jp/,0,0,0,1,0,0,0,1,0,0
227,http://qzss.go.jp/,0,0,0,0,1,0,1,1,0,0
228,https://www.geihinkan.go.jp/,0,0,0,0,0,0,0,1,0,0
229,https://www.koeki-info.go.jp/,0,0,0,0,0,0,0,1,0,0
230,https://www.fsc.go.jp/,0,0,0,0,0,0,0,0,0,0
231,http://www.aec.go.jp/,0,0,0,0,0,0,0,0,0,0
232,http://www.bousai.go.jp/,0,0,0,0,0,0,0,1,0,0
